"City","County","Rate","rate_float"
"Clarksburg","Yolo",7.25,0.0725
"Dunnigan","Yolo",7.25,0.0725
"El Macero","Yolo",7.25,0.0725
"Esparto","Yolo",7.25,0.0725
"Guinda","Yolo",7.25,0.0725
"Knights Landing","Yolo",7.25,0.0725
"Madison","Yolo",7.25,0.0725
"Rumsey","Yolo",7.25,0.0725
"Winters*","Yolo",7.25,0.0725
"Yolo","Yolo",7.25,0.0725
"Zamora","Yolo",7.25,0.0725
"Broderick (West Sacramento*)","Yolo",8,0.08
"Bryte (West Sacramento*)","Yolo",8,0.08
"West Sacramento*","Yolo",8,0.08
"Woodland*","Yolo",8,0.08
"Davis* (U.C. Davis campus rate is 7.25%)","Yolo",8.25,0.0825
"Beale A.F.B.","Yuba",7.25,0.0725
"Browns Valley","Yuba",7.25,0.0725
"Brownsville","Yuba",7.25,0.0725
"Camp Beale","Yuba",7.25,0.0725
"Camptonville","Yuba",7.25,0.0725
"Challenge","Yuba",7.25,0.0725
"Dobbins","Yuba",7.25,0.0725
"Linda","Yuba",7.25,0.0725
"Loma Rica","Yuba",7.25,0.0725
"Olivehurst","Yuba",7.25,0.0725
"Oregon House","Yuba",7.25,0.0725
"Rackerby","Yuba",7.25,0.0725
"Smartsville","Yuba",7.25,0.0725
"Strawberry Valley","Yuba",7.25,0.0725
"Woodleaf","Yuba",7.25,0.0725
"Wheatland*","Yuba",7.75,0.0775
"Marysville*","Yuba",8.25,0.0825
